HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV202,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV234,HV235,HV236,HV237,HV237A,HV237B,HV237C,HV237D,HV237E,HV237F,HV237G,HV237H,HV237I,HV237J,HV237K,HV237X,HV237Z,HV238,HV239,HV240,HV241,HV242,HV243A,HV243B,HV243C,HV243D,HV244,HV245,HV246,HV246A,HV246B,HV246C,HV246D,HV246E,HV246F,HV246G,HV246H,HV246I,HV246J,HV246K,HV247,HV248,HV249,HV250,HV251,HV270,HV271,HML1,HML1A,HML2,SH108AA,SH108BA,SH108BB,SH108BC,SH108BD,SH108BX,SH108C1,SH108C2,SH108E,SHREGION,SHDISTRICT,V126
1 1,RW5,1,1,2,1,111450,2,2008,1298,3,2,0,3,3,0,1,19,1,123,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,71, ,996,21,1,1,1,1,0,0,1,33, , , ,4,1,1,99,0,0,4,0, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,464311,0,0,0,1,0,0,0,0,1, , ,9,1,1,.11145
1 2,RW5,1,2,0,1,0,2,2008,1298,0,0,0,0,0,0,9,17,1,806,1,0,1,1,1,1,1,0,1,0,122,904,2, , ,1492, ,1, , ,21, ,996,21,1,1,1,1,0,0,1,34, , , ,5,1,1,39,0,0,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,406507,3,3,1, , , , , , , , , ,1,1,0
1 3,RW5,1,3,6,1,111450,2,2008,1298,6,1,2,6,6,1,1,18,1,123,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,31, ,996,21,1,1,0,1,0,0,0,33, , , ,5,1,2,32,0,1,6,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,279257,0,0,0,1,1,0,0,0,0,6,3,8,1,1,.11145
1 4,RW5,1,4,1,1,111450,2,2008,1298,2,1,1,2,2,0,1,22,1,123,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,11, ,996,11,1,1,1,1,1,0,1,34, , , ,5,1,1,50,0,0,6,0, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,556851,0,0,0,0, , , , , , , ,9,1,1,.11145
1 5,RW5,1,5,2,1,111450,2,2008,1298,6,2,3,6,6,0,1,17,1,806,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,11, ,996,11,1,1,1,1,0,0,1,34, , , ,5,1,1,43,0,0,6,0,3, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,554965,0,0,0,1,0,0,1,0,0, , ,9,1,1,.11145
1 6,RW5,1,6,1,1,111450,2,2008,1298,7,2,1,7,7,2,1,17,1,806,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,11, ,996,11,1,1,1,1,0,1,0,34, , , ,5,1,1,32,0,0,6,0, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,518153,0,0,0,1,0,0,1,0,0, , ,9,1,1,.11145
1 7,RW5,1,7,0,1,0,2,2008,1298,0,0,0,0,0,0,5,17,1,121,1,0,1,1,1,1,1,0,1,0,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,1,1,0,0,0,34, , , ,5,1,1,36,0,0,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,460160,3,3,3, , , , , , , , , ,1,1,0
1 8,RW5,1,8,1,1,111450,2,2008,1298,3,1,2,3,3,0,1,18,2,121,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,11, ,996,11,1,1,1,1,0,0,1,34, , , ,5,1,1,33,0,0,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,554965,2,2,1,1,0,0,1,0,0, , ,9,1,1,.11145
1 9,RW5,1,9,1,1,111450,2,2008,1298,6,2,1,6,6,3,1,17,1,121,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,1,1,0,0,0,34, , , ,2,1,1,38,0,9,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,386763,2,2,0,1,0,0,1,0,0, , ,9,1,1,.11145
110,RW5,1,10,0,1,0,2,2008,1298,0,0,0,0,0,0,6,18,2,121,1,0,1,1,1,1,1,0,1,0,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,0,0,0,0,0,33, , , ,5,1,1,35,0,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,315905,3,3,0, , , , , , , , , ,1,1,0
