HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV230,HV231,HV232,HV233,HV234,SHCOMMU,SHINTER,SHLANG,SHSECTE,SHTIME,V73
1  5,RW4,1,5,1,1,323088,7,2000,1207,5,1,0,5,5,2,1,12,1,43,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,1, ,1, , , ,13,90,21,0,1,0,0,0,0,0,11, , ,3,1,2,55,0,0,7,0,3,2, , , ,15,1,0,1,1,0,.323088
1 10,RW4,1,10,1,1,323088,7,2000,1207,6,2,0,6,6,3,1,12,1,59,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,3, ,2, , , ,41,60,21,0,1,0,0,0,0,0,34, , ,5,1,1,41,0,0,7,0,3,2, , , ,15,1,0,1,1,0,.323088
1 15,RW4,1,15,1,1,323088,7,2000,1207,1,0,1,1,1,0,1,17,3,41,85,0,1,1,9,9,1,0,1,323970,38,8,71,21244,0, ,0, , , ,12, ,21,0,1,0,0,0,0,0,11, , ,1,1,1,33,0,0,96,1, ,2, , , ,999,1,0,1,1,3,.323088
1 20,RW4,1,20,2,1,323088,7,2000,1207,6,1,0,6,6,1,1,12,1,19,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,1, ,1, , , ,41,30,22,0,1,0,0,0,0,0,34, , ,2,1,1,38,0,0,6,1,1,2, , , ,15,1,0,1,1,0,.323088
1 25,RW4,1,25,1,1,323088,7,2000,1207,4,2,0,4,4,0,1,12,1,43,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,0, ,2, , , ,13,80,22,0,0,0,0,0,0,0,34, , ,4,1,2,56,0,0,7,0, ,2, , , ,7,1,0,1,1,0,.323088
1 30,RW4,1,30,2,1,323088,7,2000,1207,12,4,3,12,12,2,1,12,1,41,85,0,1,1,9,9,1,0,1,323970,38,8,71,21244,2, ,4, , , ,33,120,21,0,0,0,0,0,0,0,11, , ,4,1,1,53,0,0,7,0,3,2, , , ,30,1,0,1,1,0,.323088
1 35,RW4,1,35,1,1,323088,7,2000,1207,7,1,0,6,6,1,1,13,1,59,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,1, ,1, , , ,23,60,21,0,0,0,0,0,0,0,11, , ,4,1,2,60,0,1,7,0,3,2, , , ,7,1,0,1,1,5,.323088
1 40,RW4,1,40,1,1,323088,7,2000,1207,5,2,0,5,5,2,1,12,1,19,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,2, ,2, , , ,41,120,21,0,1,0,0,0,0,0,34, , ,5,1,1,38,0,0,6,1,2,2, , , ,0,1,0,1,1,0,.323088
1 45,RW4,1,45,1,1,323088,7,2000,1207,7,1,1,7,7,2,1,12,1,41,85,0,1,1,9,9,1,0,1,323970,38,8,71,21244,2, ,1, , , ,33,60,21,0,1,0,0,0,0,0,34, , ,2,1,1,37,0,0,7,0,3,2, , , ,15,1,0,1,1,4,.323088
1 50,RW4,1,50,1,1,323088,7,2000,1207,3,0,0,3,3,0,1,12,1,43,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,0, ,0, , , ,13,120,21,0,1,0,0,0,0,0,11, , ,5,1,1,18,0,0,7,0, ,2, , , ,15,1,0,1,1,2,.323088
