fw101,fw000,fw102,fw103,fw104,fw105,fw106,fw107,fw108,fw109,fw110,fw111,fw112,fw113a,fw113b,fw113c,fw113d,fw113e,fw113f,fw113g,fw113h,fw113i,fw113j,fw113k,fw113l,fw113m,fw113x,fw113y,fw114,fw115,fw116,fw117,fw118
105,RW7,1,1,25,2,6,0,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
400,RW7,1,1,35,1,6,1,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,1,1,3,
401,RW7,1,1,37,2,1,2,2,3,4,1,,A,B,,,,,,,,,,,,,,1,2,1,3,
103,RW7,5,2,40,2,1,3,2,2,6,2,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
106,RW7,1,1,26,1,6,0,2,3,4,1,,A,B,C,D,,,,,,,,,,,,1,2,1,2,2.0
100,RW7,1,1,37,2,1,4,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
102,RW7,2,2,36,2,1,2,2,3,3,2,,A,B,C,,,,,,,,,,,,,2,2,2,3,
104,RW7,1,1,39,1,1,2,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,1,1,3,
101,RW7,1,1,38,2,1,2,2,3,4,2,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1404,RW7,5,3,33,1,6,0,2,3,3,3,,A,B,C,,X,,,,,,,,,,,1,2,2,3,
704,RW7,1,1,26,1,6,0,2,3,3,2,,A,,C,,,,,,,,,,,,,1,2,2,3,
701,RW7,1,1,30,2,6,1,2,3,4,2,,A,,C,,,,,,,,,,,,,1,1,2,3,
702,RW7,1,1,44,2,4,4,2,3,6,2,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
700,RW7,1,1,30,2,6,0,2,3,3,2,,A,B,C,,,,,,,,,,,,,1,1,1,3,
706,RW7,1,1,26,1,6,0,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,1,3,
705,RW7,1,1,24,2,6,0,2,3,3,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
703,RW7,5,2,38,2,1,2,2,3,3,2,,A,B,C,,,,,,,,,,,,,1,2,1,3,
707,RW7,1,1,26,1,6,0,2,3,4,1,,A,,C,,,,,,,,,,,,,1,1,1,3,
1200,RW7,2,3,47,2,1,4,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,1,2,3,
1206,RW7,1,1,32,2,1,1,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
1207,RW7,1,1,40,1,1,2,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1202,RW7,2,2,34,2,1,2,2,3,3,3,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1203,RW7,2,2,34,2,1,1,2,3,3,1,,A,,C,,,,,,,,,,,,,1,1,1,3,
1201,RW7,5,3,25,2,6,0,2,3,3,1,,A,,C,,,,,,,,,,,,,1,2,2,3,
1204,RW7,4,3,39,1,1,2,2,3,4,1,,A,B,C,D,,,,,,,,,,,,1,2,1,3,
1205,RW7,3,2,34,1,6,0,2,3,4,1,,A,B,C,D,,,,,,,,,,,,1,2,1,3,
603,RW7,1,1,28,2,6,0,2,3,3,2,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
605,RW7,1,1,29,1,6,0,2,3,4,2,,A,B,C,D,,,,,,,,,,,,1,2,1,3,
601,RW7,1,1,31,2,1,1,2,3,4,2,,A,B,C,D,,,,,,,,,,,,1,2,2,3,
604,RW7,5,2,43,1,1,2,2,3,4,2,,A,B,,,,,,,,,,,,,,1,2,1,3,
607,RW7,1,1,30,2,1,2,2,3,4,1,,A,B,,,,,,,,,,,,,,1,1,1,3,
606,RW7,4,2,26,2,6,0,2,3,4,2,,A,,C,,,,,,,,,,,,,1,2,2,3,
602,RW7,4,3,35,2,1,4,2,3,4,1,,A,B,C,,,,,,,,,,,,,2,1,2,3,
600,RW7,1,1,46,2,1,2,1,2,6,2,,A,B,,,,,,,,,,,,,,1,1,1,3,
304,RW7,1,1,27,1,1,1,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
302,RW7,2,3,22,2,6,0,2,3,3,1,,A,B,C,D,,,,,,,,,,,,1,2,2,3,
300,RW7,1,1,30,1,1,2,2,3,3,3,,A,B,C,,,,,,,,,,,,,1,1,1,3,
301,RW7,1,1,38,2,1,2,2,2,6,4,,A,B,C,D,,,,,,,,,,,,1,2,2,3,
305,RW7,3,1,25,1,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
306,RW7,3,3,24,2,6,0,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,1,3,
307,RW7,1,1,27,1,6,0,2,3,4,2,,A,,C,,,,,,,,,,,,,1,2,1,3,
303,RW7,1,1,37,2,1,1,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,1,2,3,
1700,RW7,1,1,40,2,6,1,2,2,6,2,,A,B,C,,,,,,,,,,,,,1,1,1,3,
1701,RW7,1,1,39,2,1,1,2,3,4,4,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1702,RW7,1,1,40,2,1,1,2,3,3,3,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1703,RW7,2,3,32,2,6,0,2,3,3,2,,A,B,,D,,,,,,,,,,,,1,2,2,3,
