HHID,HV000,HV001,HV002,PID,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV201,HV202,HV203,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,SHPREF,SHCOMMNE,SHSECTOR,V54
1  7,RW2,1,7,0,120,1126893,6,92,1110,5,1,1,5,5,3,1,26,1,66,3,0,120,34,2,2,2,3,2,1126893,31,31,1,40,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,29,11,2,6,1.126893
1  8,RW2,1,8,0,120,1126893,6,92,1110,3,1,0,3,3,0,1,26,1,66,3,0,120,34,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,3,1,2,75,11,2,6,1.126893
1 10,RW2,1,10,0,120,1126893,6,92,1110,2,1,0,2,2,0,1,25,1,66,3,0,120,34,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,22,11,2,6,1.126893
1 11,RW2,1,11,0,120,1126893,6,92,1110,5,1,0,5,4,2,1,26,1,66,3,0,120,34,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,30,11,2,6,1.126893
1 13,RW2,1,13,0,120,1126893,6,92,1110,7,3,0,7,7,1,1,26,1,64,3,0,120,34,2,2,2,3,0,0,31,31,1,20,23,0,1, ,0,0,0,0,11, , ,3,4,1,2,70,11,2,6,1.126893
1 14,RW2,1,14,0,120,1126893,6,92,1110,4,1,1,4,4,2,1,26,1,64,3,0,120,34,2,2,2,3,2,1126893,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,99,2,1,1,41,11,2,6,1.126893
1 16,RW2,1,16,0,120,1126893,6,92,1110,9,2,0,9,9,2,1,26,1,64,3,0,120,34,2,2,2,3,0,0,12,12,1,45,23,0,0, ,0,1,0,0,11, , ,2,4,1,1,43,11,2,6,1.126893
1 17,RW2,1,17,0,120,1126893,6,92,1110,1,0,0,1,1,0,1,26,1,64,3,0,120,34,2,2,2,3,0,0,12,12,1,45,23,0,0, ,0,0,0,0,11, , ,1,1,1,2,82,11,2,6,1.126893
1 19,RW2,1,19,0,120,1126893,6,92,1110,5,3,0,1,5,0,1,25,1,64,3,0,120,34,2,2,2,3,0,0,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,2,1,1,2,76,11,2,6,1.126893
1 20,RW2,1,20,0,120,1126893,6,92,1110,10,1,0,10,10,2,1,25,1,66,3,0,120,34,2,2,2,3,0,0,31,31,1,10,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,44,11,2,6,1.126893
1 21,RW2,1,21,0,120,1126893,6,92,1110,9,1,1,9,9,2,1,25,1,66,3,0,120,34,2,2,2,3,2,1126893,31,31,1,4,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,40,11,2,6,1.126893
1 23,RW2,1,23,0,120,1126893,6,92,1110,2,1,0,2,2,0,1,25,1,66,3,0,120,34,2,2,2,3,0,0,31,31,1,10,23,0,1, ,0,0,0,0,11, , ,2,3,1,2,75,11,2,6,1.126893
1 24,RW2,1,24,0,120,1126893,6,92,1110,6,1,0,6,6,0,1,25,1,66,3,0,120,34,2,2,2,3,0,0,31,31,1,10,23,0,1, ,0,0,0,0,11, , ,4,4,1,1,62,11,2,6,1.126893
1 26,RW2,1,26,0,120,1126893,6,92,1110,9,2,0,9,9,1,1,25,1,66,3,0,120,34,2,2,2,3,0,0,12,12,1,6,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,43,11,2,6,1.126893
1 27,RW2,1,27,0,120,1126893,6,92,1110,8,2,0,8,8,1,1,25,1,64,3,0,120,34,2,2,2,3,0,0,12,12,1,5,23,0,0, ,0,0,0,0,11, , ,3,4,1,2,55,11,2,6,1.126893
1 29,RW2,1,29,0,120,1126893,6,92,1110,13,3,1,11,13,2,1,25,1,64,3,0,120,34,2,2,2,3,2,1126893,12,12,1,60,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,45,11,2,6,1.126893
1101,RW2,1,101,0,120,1126893,6,92,1110,8,2,0,8,8,2,1,25,1,65,3,0,120,34,2,2,2,3,0,0,31,31,1,10,23,0,1, ,0,0,0,0,11, , ,2,4,1,1,44,11,2,6,1.126893
1103,RW2,1,103,0,120,1126893,6,92,1110,5,2,0,5,5,0,1,25,1,65,3,0,120,34,2,2,2,3,0,0,31,31,1,20,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,72,11,2,6,1.126893
1104,RW2,1,104,0,120,1126893,6,92,1110,1,0,0,1,1,0,1,27,3,65,3,0,120,34,2,2,2,3,0,0,31,31,1,20,23,0,0, ,0,0,0,0,11, , ,1,1,1,1,26,11,2,6,1.126893
1106,RW2,1,106,0,120,1126893,6,92,1110,4,1,0,4,4,1,1,25,1,65,3,0,120,34,2,2,2,3,0,0,31,31,1,15,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,27,11,2,6,1.126893
1107,RW2,1,107,0,120,1126893,6,92,1110,5,0,0,5,4,0,1,25,1,65,3,0,120,34,2,2,2,3,2,1126893,31,31,1,180,23,0,1, ,0,0,0,0,11, , ,2,4,1,2,55,11,2,6,1.126893
1109,RW2,1,109,0,120,1126893,6,92,1110,3,1,0,3,3,1,1,25,1,65,3,0,120,34,2,2,2,3,0,0,31,31,1,120,23,0,1, ,0,0,0,0,11, , ,1,2,1,1,22,11,2,6,1.126893
