HHID,PID,HV101,HV102,HV103,HV104,HV105,HV106,HV107,HV108,HV109,HV110,HV111,HV112,HV113,HV114,HV115,HV116,HV117,HV118,SH9A,SH11,SH12
1  7,1,1,1,1,1,29,1,6,6,1,0, , , , , , ,0,1,2,1,1
1  7,2,2,1,1,2,30,1,4,4,1,0, , , , , , ,1,0,1,1,1
1  7,3,3,1,1,2,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1  7,4,3,1,1,1,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1  7,5,3,1,1,1,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1  8,1,1,1,1,2,75,0, ,0,0,0, , , , , , ,0,0, ,0,0
1  8,2,5,1,1,2,16,1,8,8,2,0, , , , , , ,1,0,2,1,1
1  8,3,5,1,1,2,10,1,2,2,1,1,1, ,1, , , ,0,0,1,1,1
1 10,1,1,1,1,1,22,1,6,6,1,0, , , , , , ,0,0,1,1,0
1 10,2,2,1,1,2,22,0, ,0,0,0, , , , , , ,1,0, ,1,0
1 11,1,1,1,0,1,30,1,1,1,1,0, , , , , , ,0,0,1,1,1
1 11,2,2,1,1,2,32,1,2,2,1,0, , , , , , ,1,0,1,1,1
1 11,3,3,1,1,2,8,1,1,1,1,1,1, ,1, , , ,0,0,1,1,1
1 11,4,3,1,1,1,5,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 11,5,3,1,1,1,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 13,1,1,1,1,2,70,0, ,0,0,0, , , , , , ,0,0, ,0,0
1 13,2,3,1,1,2,27,1,2,2,1,0, , , , , , ,1,0,1,1,0
1 13,3,3,1,1,1,24,1,8,8,2,0, , , , , , ,0,0,2,1,0
1 13,4,3,1,1,2,20,1,7,7,1,0, , , , , , ,1,0,1,1,0
1 13,5,3,1,1,2,17,2,2,10,3,1, , , , , , ,1,0,3,1,0
1 13,6,3,1,1,2,9,1,0,0,1,1,1, ,0, , , ,0,0,1,1,0
1 13,7,5,1,1,2,1,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 14,1,1,1,1,1,41,0, ,0,0,0, , , , , , ,0,1, ,1,0
1 14,2,2,1,1,2,26,1,4,4,1,0, , , , , , ,1,0,1,1,1
1 14,3,3,1,1,2,5,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 14,4,3,1,1,1,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 16,1,1,1,1,1,43,0, ,0,0,0, , , , , , ,0,0, ,1,0
1 16,2,2,1,1,2,49,1,1,1,1,0, , , , , , ,1,0,1,0,0
1 16,3,3,1,1,2,16,1,7,7,1,0, , , , , , ,1,0,1,1,1
1 16,4,3,1,1,2,14,1,3,3,1,0,1, ,1, , , ,0,0,1,1,1
1 16,5,3,1,1,2,11,1,1,1,1,1,1, ,1, , , ,0,0,1,1,1
1 16,6,3,1,1,1,8,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
1 16,7,3,1,1,2,6,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 16,8,3,1,1,2,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 16,9,3,1,1,1,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 17,1,1,1,1,2,82,0, ,0,0,0, , , , , , ,0,0, ,0,0
1 19,1,1,1,1,2,76,0, ,0,0,0, , , , , , ,0,0, ,0,0
1 19,2,5,0,1,2,24,1,6,6,1,0, , , , , , ,1,0,1,1,1
1 19,3,5,0,1,2,23,1,6,6,1,0, , , , , , ,1,0,1,1,1
1 19,4,5,0,1,2,20,1,7,7,1,0, , , , , , ,1,0,1,1,1
1 19,5,5,0,1,2,10,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
1 20,1,1,1,1,1,44,0, ,0,0,0, , , , , , ,0,0, ,1,1
1 20,2,2,1,1,2,44,0, ,0,0,0, , , , , , ,1,0, ,1,0
1 20,3,3,1,1,1,20,1,8,8,2,0, , , , , , ,0,0,2,1,1
1 20,4,3,1,1,1,18,1,6,6,1,1, , , , , , ,0,0,1,1,1
1 20,5,3,1,1,1,14,1,3,3,1,1,1, ,1, , , ,0,0,1,1,1
1 20,6,3,1,1,2,11,1,2,2,1,1,1, ,1, , , ,0,0,1,1,1
1 20,7,3,1,1,2,9,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
1 20,8,3,1,1,1,6,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 20,9,3,1,1,2,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 20,10,3,1,1,2,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 21,1,1,1,1,1,40,0, ,0,0,0, , , , , , ,0,1, ,1,0
